sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
BS-WH0028-W0-L	X000OUUW2Z	B06XRFZ12B	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	2	0	0	2	2	2538.03	0	0	0
BS-WH0028-W0-M	X000OUUW2P	B06XRNB58K	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	10	10	0	0	10	2538.03	0	0	0
BS-WH0028-W0-S	X000OUNGCN	B06XRVXFVD	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	9	9	0	0	9	2538.03	0	0	0
BS-WH0028-W0-XL	X000OUZBU3	B06XRDLKQD	Traje de una pieza Sexy Floral Bañador con Volantes para Mujer	New	39.99	No		Yes	1	0	0	1	1	2538.03	0	0	0
BS-WH16032-B0-L	X000QNCUA7	B071FSXGJ9	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	3	3	0	0	3	1124.81	0	0	0
BS-WH16032-B0-M	X000QNCM5Z	B071JDRP5M	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	5	5	0	0	5	1839.94	0	0	0
BS-WH16032-B0-S	X000QNH32R	B072Q3GSTT	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	9	9	0	0	9	1124.81	0	0	0
BS-WH16032-B0-XL	X000QNCM73	B071ZRZC5J	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	0	0	0	0	0	1839.94	0	0	0
BS-WH16032-K0-L	X000Q2AWOT	B071JDSBR6	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	0	0	0	0	0	821.98	0	0	0
BS-WH16032-K0-M	X000Q2YZUV	B072Q4PFGH	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	6	6	0	0	6	1041.07	0	0	0
BS-WH16032-K0-S	X000Q325RZ	B072M71847	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	11	11	0	0	11	1612.81	0	0	0
BS-WH16032-K0-XL	X000Q3256V	B072JM75ND	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	1	0	0	1	1	1584.79	0	0	0
BS-WH16032-P0-L	X000QNH3EF	B072M73KQ8	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	11	10	0	1	11	1839.94	0	0	0
BS-WH16032-P0-M	X000QNCSS1	B072JM723Q	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	12	12	0	0	12	1839.94	0	0	0
BS-WH16032-P0-S	X000QNCM6J	B071JDRXZ4	Summer Mae Traje de Baño Una Pieza Acanalada Bañador Halter Vendimia Para Mujer	New	29.99	No		Yes	12	12	0	0	12	1612.81	0	0	0
