Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BX-PUHM000-R0-5XL	X001SU6MTZ	B077GVRC8H	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red 5XL	New	12.00	No		Yes	0	0	0	0	0	0.22	0	0	0
BX-PUHM000-R0-L	X001SU886Z	B077GSNNT7	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red L	New	12.00	No		Yes	0	0	0	0	0	0.09	0	0	0
BX-PUHM000-R0-M	X001STQKT3	B077GVTBNL	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red M	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM000-R0-S	X001SU8GZN	B077GVHXJF	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red S	New	12.00	No		Yes	0	0	0	0	0	0.05	0	0	0
BX-PUHM000-R0-XL	X001SU4NJV	B077GWKKJ5	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Red XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-B0-L	X001STQJNP	B077YZQ4GF	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Blue L	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-B0-M	X001STQJEJ	B077YZMM76	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Blue M	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-B0-S	X001SU7MO9	B077YTW39Y	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Blue S	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-B0-XL	X001STGUTX	B077Z2SC65	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Blue XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-B0-XS	X001SU6N99	B077Z4BQV3	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Blue XS	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-OR-L	X001STM6AP	B077Z3273G	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Orange L	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-OR-M	X001STS2N5	B077YTVL49	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Orange M	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-OR-S	X001STMA2T	B077YZQ6PF	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Orange S	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-OR-XL	X001SU7F91	B0785NGDM9	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Orange XL	New	12.00	No		Yes	0	0	0	0	0	0.16	0	0	0
BX-PUHM001-OR-XS	X001SU8A8L	B077YZQ53K	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Orange XS	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-R0-L	X001SU8A8V	B077Z5XVCP	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Red L	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-R0-M	X001SU4NGJ	B077YZQDR4	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Red M	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-R0-S	X001STM34T	B077Z32JMZ	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Red S	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-R0-XL	X001SU8AA9	B077YZMR5R	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Red XL	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM001-R0-XS	X001STQJNZ	B077YZMH2D	luciphia Winter Dog Vest Coats Reversible Warm Jackets for Small Medium Dogs Red XS	New	12.00	No		Yes	0	0	0	0	0	0.02	0	0	0
BX-PUHM200-G0-2XL	X001UT93IV	B07G8B96XM	luciphia Winter Dog Coat Vest Winter Coat Warm Dog Apparel for Cold Weather Dog Jacket for Small Medium Large dogs(2XL: Chest Girth 21.3",Green)	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
BX-PUHM200-G0-3XL	X001USXIC9	B07G8873P1	luciphia Winter Dog Coat Vest Winter Coat Warm Dog Apparel for Cold Weather Dog Jacket for Small Medium Large dogs(3XL: Chest Girth 22.8",Green)	New	10.00	No		Yes	0	0	0	0	0	0	0	0	0
