"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B0761NM3BZ","B0761PDMGN","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black S","14","0.21%","21","0.24%","71%","1","0","7.14%","0.00%","US$39.05","US$0.00","1","0"
"B0761NM3BZ","B0761PL2N2","Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy S","12","0.18%","12","0.14%","33%","1","0","8.33%","0.00%","US$34.39","US$0.00","1","0"
"B0761Q1QWN","B0761PL2N2","Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy S","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PSPTJ","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black L","19","0.28%","22","0.25%","77%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761PSPTJ","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black L","11","0.16%","13","0.15%","77%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761S4G52","B0761PTZY2","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XXL","11","0.16%","14","0.16%","7%","1","0","9.09%","0.00%","US$42.99","US$0.00","1","0"
"B0761NM3BZ","B0761PTZY2","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XXL","23","0.34%","31","0.35%","13%","1","0","4.35%","0.00%","US$42.99","US$0.00","1","0"
"B0761S4G52","B0761PV7ZS","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy XXL","10","0.15%","12","0.14%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PV7ZS","ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy XXL","4","0.06%","5","0.06%","80%","2","0","50.00%","0.00%","US$85.98","US$0.00","2","0"
"B0761NM3BZ","B0761PV952","ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Beige M","7","0.10%","9","0.10%","56%","1","0","14.29%","0.00%","US$34.39","US$0.00","1","0"
"B0761MXYJC","B0761PV952","ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Beige M","2","0.03%","2","0.02%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PVQYZ","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XL","12","0.18%","14","0.16%","86%","1","0","8.33%","0.00%","US$42.99","US$0.00","1","0"
"B0761S4G52","B0761PVQYZ","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XL","4","0.06%","4","0.05%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761MXYJC","B0761PWB12","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige L","4","0.06%","4","0.05%","25%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PWB12","ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige L","9","0.13%","9","0.10%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B0761NM3BZ","B0761PWSG1","ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black M","15","0.22%","18","0.20%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
