Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
YHJRBHS-M	X001O74VW7	B075CJ14DX	SiYang YoGa Fleece Lined Leggings For Women High Waist,Elastic and Slimming(Yellow,M)	2	0	0	2
YDY-YUNDONGK-8756BLS-XL	X001L8TPDJ	B071VW5TN7	Men's Gym Sport Pants Bodybuilding Workout Running Jogger(Blue,L)	1	1	0	0
YMQYQJISZMSS100*140CM	X0013YIUIR	B01C8QK07Q	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover Table Linen Alphabet (Shads,39.4x55.1In)	5	1	3	1
YMQYQJISZMZM60*60CM	X001KE1HFN	B0747KXTTW	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover (23.5x23.5In)	12	0	12	0
YMQYQDZMZM100*140CM	X0015FVZCR	B01C8QGVS8	LINENLUX Ablecloth Square Cotton Feel Tablecloth (Letter,39.4x55.1In)	1	0	0	1
YMQYQJISZMSS140*140CM	X000ZX6JSZ	B01C8QK1DY	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover Table Linen Alphabet (Shads,55.1x55.1In)	5	1	3	1
YMQYQXDHKF140*220CM	X001GL5HI3	B01C8QJV4Y	LINENLUX Cotton and Hemp, Machine Washable, Dinner, Summer & Picnic Tablecloth, (Coffee,55.1x86.6In)	5	0	0	5
YMQYQJISZMSS140*180CM	X000ZX6JSP	B01C8QK38M	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover Table Linen Alphabet (Shads,55.1x70.9In)	2	0	2	0
YMQYQXDHG0140*200CM	X001OXYGGR	B076DLYXWT	LINENLUX Cotton Linen Tablecloth Macrame Lace Table Cloths Linen Rectangle Table Covers Table Top for Dinner Parties Christmas Holidays or Everyday Use (55.1x78.7In, Green)	5	0	4	1
YMQYQXDHPO90*90CM	X001I61LY5	B0745BY58P	LINENLUX Cotton and Hemp, Machine Washable, Dinner, Summer & Picnic Tablecloth, (35.4x35.4In, Pink)	1	0	0	1
YMQYQHCZQ100*140CM	X00143QUO3	B01C8QIRLW	LINENLUX Washable Cotton Linen Fabric Vintage Navy Damask Pattern Decorative Macrame Lace Rectangle Tablecloth Dinner Picnic Table Cloth Home Decorative Oblong Table Cover Assorted (39.455.1In)	1	1	0	0
YI-IUYLTBY-N5	X001OWYYO7	B079JBWM3Q	LINENLUX Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor (Point Coffee)	4	1	0	3
YMQYQJISZMSS90*90CM	X0013ZTNE1	B01C8QJZ3Q	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover Table Linen Alphabet (Shads,35.4x35.4In)	1	0	0	1
YMQYQXDHKF90*90CM	X001GX81YX	B01C8QJNVA	LINENLUX Cotton and Hemp, Machine Washable, Dinner, Summer & Picnic Tablecloth, (Coffee,35.4x35.4In)	3	0	2	1
YMQYQJISZMSS60*60CM	X0015CKCDD	B01C8QJY0K	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover Table Linen Alphabet (Shads,23x23In)	4	0	4	0
YMQYQXDHKF140*250CM	X001CR3SDR	B01C8QJWB6	LINENLUX Cotton and Hemp, Machine Washable, Dinner, Summer & Picnic Tablecloth, (Coffee,55.1x98.4In)	2	1	1	0
YMQYQJISZMZM140*180CM	X001JTI03V	B0747N1T3J	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover (55x70.9In)	2	1	0	1
YMQYQJISZMZM140*140CM	X001JLH4KT	B0747JKFNG	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover (55.1x55.1In)	11	0	11	0
YMQYQDZMZM140*140CM	X0014OBM9Z	B01C8QGX6I	LINENLUX Ablecloth Square Cotton Feel Tablecloth (Letter,55.1x55.1In)	10	0	10	0
YMQYQXDHW090*90CM	X0015ZGB6H	B01C8QJ1XU	LINENLUX Cotton Linen Tablecloth Macrame Lace Table Cloths Linen Rectangle Table Covers Table Top for Dinner Parties Christmas Holidays or Everyday Use(Beige,35.4x35.4In)	5	0	5	0
