"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B07CCKX5Z7","B07216G9G4","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee/Grass Green Large","5","0.04%","5","0.04%","40%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DG2NGBY","B0725CDCCN","MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Black Medium","8","0.07%","10","0.07%","80%","1","0","12.50%","0.00%","US$22.98","US$0.00","1","0"
"B07C6ZJHK8","B0728K5VXT","MOCOTONO Men's Long Sleeve Casual Collared Polo Shirt Top Navy Blue M","8","0.07%","13","0.10%","92%","2","0","25.00%","0.00%","US$45.96","US$0.00","2","0"
"B072BV4Y8W","B072BV4Y8W","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Red XX-Large","2","0.02%","3","0.02%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B072FFTC6J","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Muti Plaid Medium","3","0.03%","3","0.02%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B072FMY4JZ","Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Navy XX-Large","2","0.02%","2","0.01%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B072J7K92Q","Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Navy Small","3","0.03%","4","0.03%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B072J7L4LR","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Khaki XX-Large","2","0.02%","2","0.01%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B072J7L6PX","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Yellow Small","3","0.03%","4","0.03%","100%","1","0","33.33%","0.00%","US$25.98","US$0.00","1","0"
"B07CCKX5Z7","B072K1SLX8","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee/Grass Green Medium","1","0.01%","1","0.01%","0%","1","0","100.00%","0.00%","US$22.98","US$0.00","1","0"
"B07CNVG6NZ","B072LTDN7F","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Black XX-Large","1","0.01%","1","0.01%","0%","1","0","100.00%","0.00%","US$25.98","US$0.00","1","0"
"B07CCKX5Z7","B072MML4VB","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee/Grass Green XX-Large","3","0.03%","3","0.02%","67%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B072PQ6GGL","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Red and Navy X-Large","4","0.04%","4","0.03%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CNVG6NZ","B072PR4741","MOCOTONO Men's Long Sleeve Flannel Plaid Dress Shirt Western Button Down Shirts Muti Plaid X-Large","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C5SXQ14","B073PP2Q5W","Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Green,Small","5","0.04%","6","0.04%","83%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C5SXQ14","B073PP7W37","Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Navy Blue,Small","22","0.19%","23","0.17%","74%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
