Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
CS-BBS030-WT-S	X001STI753	B078VZD77Q	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Light White, Small	New	22.98	No		Yes	0	0	0	0	0	0.07	0	0	0
CS-BBS030-WT-XL	X001SSMXO5	B078W14T3V	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Light White, X-Large	New	23.98	No		Yes	13	13	0	0	13	0.07	0	0	0
CS-BBS030-WT-XXL	X001SSMTOT	B078W13X4N	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Light White, XX-Large	New	23.98	No		Yes	21	21	0	0	23	0.07	0	2	0
CS-BBS030-YL-L	X001SSMF8J	B078W14YQ1	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Yellow, Large	New	22.98	No		Yes	0	0	0	0	0	0.07	0	0	0
CS-BBS030-YL-M	X001SSMWOV	B078W1415D	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Yellow, Medium	New	22.98	No		Yes	0	0	0	0	0	0.07	0	0	0
CS-BBS030-YL-S	X001SSMTPD	B078W1DC66	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Yellow, Small	New	22.98	No		Yes	0	0	0	0	0	0.07	0	0	0
CS-BBS030-YL-XL	X001SSN7IL	B078VZCF7R	Men's Short Sleeve Oxford Button Down Casual Shirt, Yellow, X-Large	New	23.98	No		Yes	0	0	0	0	0	0.07	0	0	0
CS-BBS030-YL-XXL	X001SSNYJ3	B078VYBW2P		Unknown					0	0	0	0	0		0	0	0
CS-BS003-B0-XL	B078JJDS4Z	B078JJDS4Z	MOCOTONO Men's Long Sleeve Slim Fit Denim Double-Pocket Shirt Blue X-Large	New	24.98	No		Yes	23	23	0	0	23	0.06	0	0	0
CS-BS003-B0-XXL	B078JM6YCM	B078JM6YCM	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Blue XX-Large	New	24.98	No		Yes	7	7	0	0	7	0.06	0	0	0
CS-BS003-BK-L	B078JD6XLB	B078JD6XLB	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Black Large	New	39.98	No		Yes	21	20	0	1	21	0.06	0	0	0
CS-BS003-BK-M	B078JNP4BD	B078JNP4BD	MOCOTONO Men's Long Sleeve Denim Solid Double-Pocket Shirt Black Medium	New	24.98	No		Yes	17	17	0	0	17	0.06	0	0	0
